date,stock,total_news,avg_sentiment_score,total_sentiment_score,positive_count,neutral_count,negative_count
2023-01-02,BBRI,1,-4.0,-4.0,0,0,1
2023-01-03,BBRI,1,-1.3333333333333333,-1.3333333333333333,0,0,1
2023-01-04,BBRI,1,1.3333333333333333,1.3333333333333333,1,0,0
2023-01-09,BBRI,1,-1.0,-1.0,0,0,1
2023-01-12,BBRI,1,3.0,3.0,1,0,0
2023-01-17,BBRI,1,-5.0,-5.0,0,0,1
2023-01-24,BBRI,1,0.3333333333333333,0.3333333333333333,1,0,0
2023-01-25,BBRI,1,2.0,2.0,1,0,0
2023-02-08,BBRI,4,2.2708333333333335,9.083333333333334,3,0,1
2023-02-15,BBRI,1,-0.5,-0.5,0,0,1
2023-02-16,BBRI,1,0.0,0.0,0,1,0
2023-02-22,BBRI,1,2.0,2.0,1,0,0
2023-03-07,BBRI,1,1.3333333333333333,1.3333333333333333,1,0,0
2023-03-13,BBRI,2,1.0,2.0,1,0,1
2023-03-20,BBRI,1,3.0,3.0,1,0,0
2023-03-29,BBRI,1,-1.0,-1.0,0,0,1
2023-04-03,BBRI,1,0.5,0.5,1,0,0
2023-04-13,BBRI,1,3.6666666666666665,3.6666666666666665,1,0,0
2023-04-14,BBRI,1,3.0,3.0,1,0,0
2023-05-19,BBRI,3,3.222222222222222,9.666666666666666,3,0,0
2023-05-22,BBRI,1,2.0,2.0,1,0,0
2023-05-23,BBRI,1,3.0,3.0,1,0,0
2023-05-24,BBRI,1,1.0,1.0,1,0,0
2023-06-12,BBRI,1,-4.0,-4.0,0,0,1
2023-07-18,BBRI,1,2.0,2.0,1,0,0
2023-07-27,BBRI,1,2.0,2.0,1,0,0
2023-08-01,BBRI,1,0.0,0.0,0,1,0
2023-08-09,BBRI,1,1.0,1.0,1,0,0
2023-08-15,BBRI,1,0.5,0.5,1,0,0
2023-08-28,BBRI,1,1.0,1.0,1,0,0
2023-08-30,BBRI,3,2.888888888888889,8.666666666666666,3,0,0
2023-08-31,BBRI,1,3.0,3.0,1,0,0
2023-09-12,BBRI,1,3.5,3.5,1,0,0
2023-09-20,BBRI,1,3.3333333333333335,3.3333333333333335,1,0,0
2023-09-27,BBRI,1,4.0,4.0,1,0,0
2023-09-29,BBRI,1,0.3333333333333333,0.3333333333333333,1,0,0
2023-10-10,BBRI,1,0.0,0.0,0,1,0
2023-10-12,BBRI,1,0.0,0.0,0,1,0
2023-10-17,BBRI,1,1.5,1.5,1,0,0
2023-10-23,BBRI,2,0.5,1.0,1,0,1
2023-10-24,BBRI,1,2.6666666666666665,2.6666666666666665,1,0,0
2023-10-25,BBRI,3,3.0,9.0,3,0,0
2023-11-02,BBRI,1,0.0,0.0,0,1,0
2023-11-07,BBRI,1,2.0,2.0,1,0,0
2023-11-30,BBRI,2,-0.25,-0.5,0,1,1
2023-12-04,BBRI,1,-1.0,-1.0,0,0,1
2023-12-14,BBRI,1,2.5,2.5,1,0,0
2023-12-20,BBRI,1,3.0,3.0,1,0,0
2023-12-22,BBRI,1,0.0,0.0,0,1,0
2023-12-28,BBRI,1,1.0,1.0,1,0,0
2023-12-29,BBRI,1,1.3333333333333333,1.3333333333333333,1,0,0
2024-01-05,BBRI,1,2.0,2.0,1,0,0
2024-01-09,BBRI,1,2.5,2.5,1,0,0
2024-01-10,BBRI,1,1.5,1.5,1,0,0
2024-01-11,BBRI,2,2.375,4.75,2,0,0
2024-01-12,BBRI,1,-1.0,-1.0,0,0,1
2024-01-14,BBRI,2,-0.25,-0.5,0,1,1
2024-01-15,BBRI,1,1.3333333333333333,1.3333333333333333,1,0,0
2024-01-16,BBRI,1,4.0,4.0,1,0,0
2024-01-17,BBRI,3,1.5833333333333333,4.75,2,0,1
2024-01-19,BBRI,1,3.0,3.0,1,0,0
2024-01-22,BBRI,2,1.6,3.2,2,0,0
2024-01-24,BBRI,2,1.75,3.5,1,0,1
2024-01-25,BBRI,2,2.75,5.5,2,0,0
2024-01-31,BBRI,2,-1.5,-3.0,0,1,1
2024-02-06,BBRI,2,0.875,1.75,1,0,1
2024-02-08,BBRI,1,2.25,2.25,1,0,0
2024-02-12,BBRI,7,0.9642857142857143,6.75,4,2,1
2024-02-13,BBRI,2,2.5,5.0,2,0,0
2024-02-16,BBRI,1,-2.0,-2.0,0,0,1
2024-02-20,BBRI,2,2.0,4.0,2,0,0
2024-02-23,BBRI,1,3.0,3.0,1,0,0
2024-02-26,BBRI,1,4.5,4.5,1,0,0
2024-03-01,BBRI,5,0.37333333333333335,1.8666666666666667,2,2,1
2024-03-02,BBRI,1,-2.0,-2.0,0,0,1
2024-03-04,BBRI,2,0.625,1.25,1,0,1
2024-03-05,BBRI,1,2.0,2.0,1,0,0
2024-03-06,BBRI,1,0.6666666666666666,0.6666666666666666,1,0,0
2024-03-07,BBRI,10,0.0833333333333333,0.833333333333333,5,2,3
2024-03-08,BBRI,1,0.0,0.0,0,1,0
2024-03-12,BBRI,1,3.0,3.0,1,0,0
2024-03-13,BBRI,2,0.3333333333333333,0.6666666666666666,1,1,0
2024-03-14,BBRI,1,0.5,0.5,1,0,0
2024-03-20,BBRI,1,-0.3333333333333333,-0.3333333333333333,0,0,1
2024-03-21,BBRI,2,3.166666666666667,6.333333333333334,2,0,0
2024-03-25,BBRI,2,2.0,4.0,2,0,0
2024-03-26,BBRI,1,3.5,3.5,1,0,0
2024-03-31,BBRI,3,1.888888888888889,5.666666666666667,2,0,1
2024-04-02,BBRI,1,-0.8,-0.8,0,0,1
2024-04-05,BBRI,2,1.5,3.0,1,1,0
2024-04-08,BBRI,1,-3.0,-3.0,0,0,1
2024-04-09,BBRI,1,-0.6666666666666666,-0.6666666666666666,0,0,1
2024-04-13,BBRI,1,2.6,2.6,1,0,0
2024-04-14,BBRI,1,2.0,2.0,1,0,0
2024-04-16,BBRI,1,1.3333333333333333,1.3333333333333333,1,0,0
2024-04-17,BBRI,1,3.5,3.5,1,0,0
2024-04-18,BBRI,1,-4.0,-4.0,0,0,1
2024-04-19,BBRI,1,2.5,2.5,1,0,0
2024-04-22,BBRI,1,1.0,1.0,1,0,0
2024-04-23,BBRI,2,-0.16666666666666663,-0.33333333333333326,1,0,1
2024-04-24,BBRI,1,-0.5,-0.5,0,0,1
2024-04-25,BBRI,3,1.7833333333333332,5.35,2,0,1
2024-04-26,BBRI,2,1.625,3.25,2,0,0
2024-04-29,BBRI,2,-0.20833333333333337,-0.41666666666666674,1,0,1
2024-04-30,BBRI,1,0.0,0.0,0,1,0
2024-05-02,BBRI,1,3.0,3.0,1,0,0
2024-05-03,BBRI,1,3.3333333333333335,3.3333333333333335,1,0,0
2024-05-05,BBRI,1,0.6666666666666666,0.6666666666666666,1,0,0
2024-05-06,BBRI,1,0.5,0.5,1,0,0
2024-05-07,BBRI,3,2.111111111111111,6.333333333333333,3,0,0
2024-05-08,BBRI,1,0.8571428571428571,0.8571428571428571,1,0,0
2024-05-13,BBRI,1,1.0,1.0,1,0,0
2024-05-19,BBRI,1,2.1666666666666665,2.1666666666666665,1,0,0
2024-05-23,BBRI,1,2.0,2.0,1,0,0
2024-05-27,BBRI,1,-0.3333333333333333,-0.3333333333333333,0,0,1
2024-05-28,BBRI,2,-0.16666666666666666,-0.3333333333333333,0,1,1
2024-05-30,BBRI,2,1.95,3.9,2,0,0
2024-06-03,BBRI,1,0.75,0.75,1,0,0
2024-06-04,BBRI,1,1.5,1.5,1,0,0
2024-06-07,BBRI,1,3.0,3.0,1,0,0
2024-06-11,BBRI,1,0.25,0.25,1,0,0
2024-06-12,BBRI,1,1.25,1.25,1,0,0
2024-06-14,BBRI,1,2.0,2.0,1,0,0
2024-06-20,BBRI,1,0.75,0.75,1,0,0
2024-06-28,BBRI,1,4.0,4.0,1,0,0
2024-06-30,BBRI,1,4.0,4.0,1,0,0
2024-07-01,BBRI,1,2.5,2.5,1,0,0
2024-07-02,BBRI,1,2.0,2.0,1,0,0
2024-07-11,BBRI,1,-2.0,-2.0,0,0,1
2024-07-12,BBRI,1,-2.0,-2.0,0,0,1
2024-07-18,BBRI,1,-1.0,-1.0,0,0,1
2024-07-23,BBRI,1,4.333333333333333,4.333333333333333,1,0,0
2024-07-24,BBRI,1,0.6666666666666666,0.6666666666666666,1,0,0
2024-07-25,BBRI,6,1.5555555555555556,9.333333333333334,5,1,0
2024-07-26,BBRI,1,3.6666666666666665,3.6666666666666665,1,0,0
2024-07-27,BBRI,1,4.0,4.0,1,0,0
2024-07-29,BBRI,2,-0.375,-0.75,0,1,1
2024-07-30,BBRI,1,0.6666666666666666,0.6666666666666666,1,0,0
2024-07-31,BBRI,1,-1.6666666666666667,-1.6666666666666667,0,0,1
2024-08-12,BBRI,1,2.3333333333333335,2.3333333333333335,1,0,0
2024-08-13,BBRI,1,-1.0,-1.0,0,0,1
2024-08-14,BBRI,1,-0.5,-0.5,0,0,1
2024-08-18,BBRI,1,3.0,3.0,1,0,0
2024-08-21,BBRI,2,0.16666666666666666,0.3333333333333333,1,1,0
2024-08-27,BBRI,1,0.3333333333333333,0.3333333333333333,1,0,0
2024-08-30,BBRI,1,2.75,2.75,1,0,0
2024-09-19,BBRI,2,2.333333333333333,4.666666666666666,2,0,0
2024-09-20,BBRI,1,3.0,3.0,1,0,0
2024-09-23,BBRI,1,2.0,2.0,1,0,0
2024-09-27,BBRI,1,3.0,3.0,1,0,0
2024-10-01,BBRI,1,3.6666666666666665,3.6666666666666665,1,0,0
2024-10-04,BBRI,1,-0.3333333333333333,-0.3333333333333333,0,0,1
2024-10-08,BBRI,2,1.0,2.0,1,0,1
2024-10-09,BBRI,1,4.0,4.0,1,0,0
2024-10-11,BBRI,1,3.0,3.0,1,0,0
2024-10-14,BBRI,1,4.0,4.0,1,0,0
2024-10-29,BBRI,1,0.5,0.5,1,0,0
2024-10-30,BBRI,4,2.925,11.7,4,0,0
2024-11-03,BBRI,1,2.3333333333333335,2.3333333333333335,1,0,0
2024-11-04,BBRI,1,1.0,1.0,1,0,0
2024-11-05,BBRI,2,-0.04999999999999999,-0.09999999999999998,1,0,1
2024-11-18,BBRI,1,0.0,0.0,0,1,0
2024-11-19,BBRI,3,1.7777777777777777,5.333333333333333,3,0,0
2024-11-25,BBRI,1,4.0,4.0,1,0,0
2024-11-29,BBRI,1,1.25,1.25,1,0,0
2024-12-02,BBRI,1,0.0,0.0,0,1,0
2024-12-03,BBRI,1,0.6666666666666666,0.6666666666666666,1,0,0
2024-12-10,BBRI,1,-1.5,-1.5,0,0,1
2024-12-11,BBRI,1,-1.3333333333333333,-1.3333333333333333,0,0,1
2024-12-16,BBRI,3,1.6666666666666667,5.0,2,1,0
2024-12-17,BBRI,2,-2.25,-4.5,0,1,1
2024-12-23,BBRI,1,0.6666666666666666,0.6666666666666666,1,0,0
2024-12-24,BBRI,1,-0.4,-0.4,0,0,1
2024-12-25,BBRI,1,-3.5,-3.5,0,0,1
2024-12-26,BBRI,5,2.2666666666666666,11.333333333333334,5,0,0
2024-12-27,BBRI,1,-1.25,-1.25,0,0,1
2024-12-28,BBRI,1,3.0,3.0,1,0,0
2024-12-31,BBRI,1,3.0,3.0,1,0,0
